math_score,read_score,scie_score,gender,immig,homelang,desk,room,quietplace,homecomputer,homeinternet,books,booksqty,misced,fisced,hisced,pared,cultposs,hedres,wealth,ictres,schlregion,schllocation,schltype,stratio,schsize,clsize,schid,stuid,composite_score,resource_index,schltype_enc,schllocation_enc,gender_enc,immig_enc,homelang_enc,schlregion_enc,cluster
419.58691,481.97739,421.0387,Female,Native,Language of test,No,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 5A, 6","ISCED 3B, C","ISCED 5A, 6",16,0.0433,-0.8323,0.1526,0.4892,United Kingdom: Wales,A town (15 000 to about 100 000 people),Public,17.8571,750,28,82600049,82602732,440.8676666666667,5,1,3,0,1,0,3,1
451.4339,518.25177,514.03699,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,More than 500 books,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,14,2.1655,1.1563,1.8258,2.618,United Kingdom: Wales,A town (15 000 to about 100 000 people),Public,18.0882,1230,28,82600056,82605372,494.57421999999997,6,1,3,0,1,0,3,2
560.7597,542.46729,588.44489,Female,Native,Language of test,Yes,Yes,No,Yes,Yes,Yes,More than 500 books,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,2.1655,-1.1023,0.3309,0.9455,United Kingdom: England,A town (15 000 to about 100 000 people),Public,18.7037,1010,28,82600057,82606354,563.8906266666667,5,1,3,0,1,0,0,2
525.18048,467.5556,475.41919,Female,Second-Generation,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",12,0.7777,1.1563,0.7725,1.0751,United Kingdom: England,A city (100 000 to about 1 000 000 people),Public,14.2174,981,28,82600061,82604946,489.38509,6,1,0,0,2,0,0,2
417.0264,456.18851,435.85141,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,0-10 books,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",16,-0.831,0.0321,0.1079,-0.2111,United Kingdom: Wales,A small town (3 000 to about 15 000 people),Public,14.9412,1270,23,82600062,82603364,436.35544,6,1,2,0,1,0,3,1
589.38397,571.4353,590.86023,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,"ISCED 3B, C","ISCED 3B, C","ISCED 3B, C",11,-0.222,1.1563,0.9628,0.7936,United Kingdom: England,A small town (3 000 to about 15 000 people),Public,15.3871,954,28,82600064,82607008,583.8931666666666,6,1,2,0,1,0,0,2
485.34161,534.57379,481.33841,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 3B, C","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,-1.1752,1.1563,-0.2729,-0.56,United Kingdom: England,A town (15 000 to about 100 000 people),Public,14.1852,766,23,82600066,82602574,500.4179366666667,6,1,3,0,1,0,0,1
616.76331,663.64697,673.53851,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,201-500 books,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",16,2.1655,0.0321,-0.068,-0.1135,United Kingdom: England,A small town (3 000 to about 15 000 people),Public,16.3776,1171,23,82600070,82601885,651.3162633333333,6,1,2,0,1,0,0,2
459.9361,358.43121,444.95621,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,0-10 books,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,-0.356,1.1563,0.9497,0.6155,United Kingdom: Wales,A town (15 000 to about 100 000 people),Public,15.5,837,18,82600078,82609315,421.10784000000007,6,1,3,0,1,0,3,2
562.2796,540.64783,589.5188,Male,Native,Language of test,Yes,Yes,Yes,No,Yes,Yes,26-100 books,"ISCED 3B, C","ISCED 3B, C","ISCED 3B, C",11,-0.0071,-0.6281,0.2276,0.4091,United Kingdom: England,A town (15 000 to about 100 000 people),Public,16.866,818,23,82600079,82604053,564.1487433333333,5,1,3,1,1,0,0,1
541.45892,563.133,566.25598,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,More than 500 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,2.1655,1.1563,0.9299,2.618,United Kingdom: Wales,A city (100 000 to about 1 000 000 people),Public,18.2439,1496,23,82600080,82604366,556.9493000000001,6,1,0,0,1,0,3,2
584.9986,584.38782,626.48853,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,-0.8341,0.0321,0.2775,0.4091,United Kingdom: England,"A village, hamlet or rural area (fewer than 3 000 people)",Public,17.7764,1431,28,82600083,82602393,598.6249833333333,6,1,4,0,1,0,0,2
605.461,641.11432,649.65619,Female,First-Generation,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6",16,-0.2107,1.1563,0.6075,0.597,United Kingdom: Wales,A town (15 000 to about 100 000 people),Public,18.0714,506,23,82600089,82604558,632.07717,6,1,3,0,0,0,3,2
461.16739,479.24091,432.97919,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,201-500 books,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",16,0.6093,1.1563,0.8768,0.4241,United Kingdom: Northern Ireland,A small town (3 000 to about 15 000 people),Private,6.5,182,18,82600091,82608564,457.79583,6,0,2,0,1,0,1,0
594.23657,578.44568,587.08972,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,201-500 books,ISCED 5B,ISCED 5B,ISCED 5B,14,2.1655,1.1563,0.895,1.1167,United Kingdom: England,A city (100 000 to about 1 000 000 people),Public,11.7236,1612,28,82600092,82601718,586.5906566666667,6,1,0,0,1,0,0,2
487.16611,457.21109,438.28781,Female,Second-Generation,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,2.1655,1.1563,1.7022,1.4835,United Kingdom: Wales,A city (100 000 to about 1 000 000 people),Public,19.0169,1683,28,82600093,82613029,460.88833666666665,6,1,0,0,2,0,3,2
492.15631,506.1474,469.20059,Female,Native,Language of test,Yes,No,Yes,Yes,Yes,No,11-25 books,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,-1.6287,0.1927,0.9063,1.9538,United Kingdom: England,A town (15 000 to about 100 000 people),Public,12.0,630,23,82600095,82604941,489.16810000000004,4,1,3,0,1,0,0,1
532.40833,610.06281,591.36621,Female,Native,Language of test,No,Yes,Yes,Yes,Yes,Yes,101-200 books,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,-0.7039,-0.7541,-0.4038,0.1195,United Kingdom: England,A town (15 000 to about 100 000 people),Public,13.7207,1228,23,82600099,82603753,577.9457833333335,5,1,3,0,1,0,0,1
320.1904,409.76831,372.32019,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,More than 500 books,ISCED 5B,"ISCED 5A, 6",ISCED 5B,14,-0.2472,-0.6295,0.1036,1.1606,United Kingdom: Wales,A town (15 000 to about 100 000 people),Public,17.5938,1126,28,82600104,82606911,367.4263,6,1,3,0,1,0,3,2
487.62811,486.61319,489.96851,Male,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 3A, ISCED 4",ISCED 5B,ISCED 5B,14,0.2737,0.0321,1.4643,1.9538,United Kingdom: England,A town (15 000 to about 100 000 people),Public,14.0184,1521,23,82600107,82613306,488.0699366666666,6,1,3,1,1,0,0,2
621.7168,531.91162,594.1416,Female,Native,Language of test,No,Yes,No,Yes,Yes,Yes,26-100 books,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",16,-0.8341,-1.8029,0.4111,0.351,United Kingdom: England,A small town (3 000 to about 15 000 people),Public,13.5135,1000,28,82600109,82606825,582.5900066666667,4,1,2,0,1,0,0,1
482.5556,487.63141,507.00851,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 5A, 6","ISCED 3B, C","ISCED 5A, 6",16,-0.7039,1.1563,1.1073,1.9538,United Kingdom: England,A city (100 000 to about 1 000 000 people),Public,15.6181,1554,28,82600110,82605670,492.3985066666667,6,1,0,0,1,0,0,2
574.33551,606.96869,569.30029,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,201-500 books,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",16,-0.3696,0.0321,1.3902,3.5053,United Kingdom: England,A town (15 000 to about 100 000 people),Public,15.7572,1363,28,82600114,82608271,583.53483,6,1,3,0,1,0,0,2
523.17181,548.78479,542.64349,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,11-25 books,ISCED 5B,ISCED 5B,ISCED 5B,14,-0.5975,1.1563,1.9839,1.0751,United Kingdom: Wales,A town (15 000 to about 100 000 people),Public,17.3448,1006,23,82600117,82612625,538.20003,6,1,3,0,1,0,3,2
562.04602,578.5979,581.96381,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,0.7777,1.1563,2.7596,3.4968,United Kingdom: Wales,A small town (3 000 to about 15 000 people),Public,16.8092,1101,23,82600119,82608993,574.2025766666667,6,1,2,0,1,0,3,2
490.935,504.25891,511.1319,Female,Native,Language of test,Yes,Yes,No,Yes,Yes,Yes,101-200 books,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,14,-0.9969,0.0659,1.2616,1.4083,United Kingdom: Wales,"A village, hamlet or rural area (fewer than 3 000 people)",Public,16.3133,677,28,82600122,82603906,502.1086033333333,5,1,4,0,1,0,3,1
582.0697,650.34418,676.19427,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,"ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6",16,0.2834,0.2156,2.6554,3.4968,United Kingdom: England,A town (15 000 to about 100 000 people),Public,14.0678,830,23,82600124,82611816,636.2027166666667,6,1,3,0,1,0,0,2
543.43341,582.86908,588.88562,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 3B, C",ISCED 5B,ISCED 5B,14,-0.2107,1.1563,0.3021,-0.3461,United Kingdom: England,A city (100 000 to about 1 000 000 people),Public,12.0,900,23,82600135,82610128,571.72937,6,1,0,0,1,0,0,2
427.67511,374.84509,405.1633,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,11-25 books,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,-1.6287,0.0321,0.8053,1.0751,United Kingdom: Wales,A town (15 000 to about 100 000 people),Public,17.0952,1436,23,82600138,82612790,402.5611666666667,6,1,3,0,1,0,3,1
448.36319,639.90833,562.58441,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,ISCED 5B,"ISCED 3B, C",ISCED 5B,14,0.0058,0.8021,0.9568,0.6155,United Kingdom: England,A large city (with over 1 000 000 people),Private,8.75,490,28,82600140,82612370,550.2853100000001,6,0,1,0,1,0,0,0
485.49799,461.578,472.48361,Female,Native,Language of test,Yes,Yes,No,Yes,Yes,Yes,0-10 books,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",16,-1.6287,-0.9611,-0.1343,0.1321,United Kingdom: England,A city (100 000 to about 1 000 000 people),Public,14.3051,844,23,82600142,82609935,473.18653333333333,5,1,0,0,1,0,0,1
448.18381,537.2774,494.33841,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,11-25 books,"ISCED 3B, C",ISCED 5B,ISCED 5B,14,-0.4113,0.0321,0.1125,0.0257,United Kingdom: England,A town (15 000 to about 100 000 people),Public,15.6667,940,23,82600152,82609576,493.26654,6,1,3,0,1,0,0,1
543.78229,609.34839,588.83331,Female,Second-Generation,Language of test,Yes,Yes,Yes,No,Yes,Yes,More than 500 books,ISCED 5B,ISCED 5B,ISCED 5B,14,2.1655,-1.4432,-2.2125,-1.6394,United Kingdom: England,A town (15 000 to about 100 000 people),Public,16.7391,770,28,82600155,82609756,580.6546633333334,5,1,3,0,2,0,0,1
482.86621,557.76349,430.7995,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,0-10 books,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,-1.6287,0.0321,0.4111,0.6155,United Kingdom: England,A town (15 000 to about 100 000 people),Public,15.6627,1300,28,82600156,82612814,490.4764,6,1,3,0,1,0,0,1
426.9068,503.88571,477.53571,Female,Native,Language of test,Yes,No,Yes,Yes,Yes,Yes,11-25 books,"ISCED 3A, ISCED 4",ISCED 5B,ISCED 5B,14,-0.4504,0.0321,0.3317,0.7936,United Kingdom: England,A large city (with over 1 000 000 people),Public,13.8542,1330,28,82600157,82612574,469.44273999999996,5,1,1,0,1,0,0,1
546.01031,574.43073,592.51831,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,201-500 books,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",16,2.1655,0.0321,0.1003,0.7936,United Kingdom: England,A town (15 000 to about 100 000 people),Public,14.8596,1746,28,82600161,82600939,570.98645,6,1,3,0,1,0,0,2
654.78351,653.8172,614.54492,Female,First-Generation,Language of test,No,Yes,Yes,Yes,Yes,Yes,11-25 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,-1.2278,-0.1639,0.2325,0.7936,United Kingdom: England,A town (15 000 to about 100 000 people),Public,15.2324,1409,28,82600162,82608948,641.0485433333333,5,1,3,0,0,0,0,1
368.957,279.59579,355.82159,Female,Native,Language of test,Yes,No,Yes,Yes,Yes,Yes,11-25 books,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,-0.831,0.2156,0.3871,0.1321,United Kingdom: England,A city (100 000 to about 1 000 000 people),Public,12.3936,1543,23,82600163,82603425,334.79146,5,1,0,0,1,0,0,1
533.0567,539.38861,598.45789,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,201-500 books,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,0.6093,0.0321,0.6114,0.1646,United Kingdom: England,A town (15 000 to about 100 000 people),Public,18.2022,810,28,82600164,82605355,556.9677333333334,6,1,3,0,1,0,0,2
550.45581,566.37488,563.88629,Male,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,2.1655,1.1563,0.647,0.2793,United Kingdom: England,A large city (with over 1 000 000 people),Public,17.1171,950,28,82600165,82605865,560.2389933333334,6,1,1,1,1,0,0,2
483.40161,476.6777,552.0025,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",16,-1.6287,0.0321,0.7569,0.4091,United Kingdom: England,A town (15 000 to about 100 000 people),Public,14.5361,705,18,82600167,82601038,504.02727000000004,6,1,3,0,1,0,0,2
562.99231,583.58801,570.83362,Female,Second-Generation,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,-0.4113,0.0321,0.9885,0.4241,United Kingdom: England,A large city (with over 1 000 000 people),Public,18.7216,908,23,82600169,82611837,572.4713133333333,6,1,1,0,2,0,0,2
429.4278,401.38501,411.60559,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 3B, C","ISCED 3B, C","ISCED 3B, C",11,-0.7039,-0.5199,-0.1343,0.1321,United Kingdom: England,A large city (with over 1 000 000 people),Public,11.7077,761,23,82600170,82611064,414.1394666666667,6,1,1,0,1,0,0,1
501.8447,627.12952,609.58948,Female,Native,Language of test,No,Yes,Yes,Yes,Yes,Yes,101-200 books,"ISCED 3B, C","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,2.1655,-0.1639,0.5604,0.8479,United Kingdom: England,A town (15 000 to about 100 000 people),Public,19.3739,1114,28,82600173,82610104,579.5212333333334,5,1,3,0,1,0,0,2
297.71109,309.27911,300.04199,Female,Native,Language of test,Yes,Yes,Yes,No,Yes,Yes,0-10 books,ISCED 5B,ISCED 5B,ISCED 5B,14,-0.356,-1.0496,1.1997,1.9538,United Kingdom: England,A town (15 000 to about 100 000 people),Public,19.5323,1211,23,82600179,82605341,302.3440633333333,5,1,3,0,1,0,0,2
634.46472,707.13092,661.89392,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,More than 500 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,0.6062,1.1563,0.2798,0.1624,United Kingdom: England,A town (15 000 to about 100 000 people),Public,15.0688,1424,23,82600181,82607657,667.8298533333333,6,1,3,0,1,0,0,2
580.2099,621.45111,608.58728,Female,First-Generation,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,0.2834,1.1563,0.0253,0.4091,United Kingdom: England,A city (100 000 to about 1 000 000 people),Public,16.5156,1057,28,82600185,82611355,603.4160966666666,6,1,0,0,0,0,0,2
605.08618,664.68829,682.53009,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 3A, ISCED 4","ISCED 3B, C","ISCED 3A, ISCED 4",12,-0.4365,1.1563,0.6066,1.0751,United Kingdom: England,A small town (3 000 to about 15 000 people),Public,15.1963,813,23,82600189,82601400,650.7681866666667,6,1,2,0,1,0,0,2
377.11539,404.20331,328.4277,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,11-25 books,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,-1.6287,0.0321,-0.097,-0.9791,United Kingdom: Wales,A city (100 000 to about 1 000 000 people),Public,14.5299,1700,23,82600191,82608511,369.91546666666665,6,1,0,0,1,0,3,1
503.1756,481.2753,517.17188,Female,Native,Language of test,Yes,No,Yes,Yes,Yes,Yes,101-200 books,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,-0.2107,0.0321,0.4905,1.4662,United Kingdom: England,A city (100 000 to about 1 000 000 people),Public,10.8344,818,23,82600194,82608455,500.54092666666673,5,1,0,0,1,0,0,1
466.93179,494.35519,485.1926,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,More than 500 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,-0.5041,1.1563,0.4938,0.6155,United Kingdom: Wales,"A village, hamlet or rural area (fewer than 3 000 people)",Public,16.898,828,23,82600195,82610487,482.15986,6,1,4,0,1,0,3,2
479.33859,472.3779,474.5253,Female,First-Generation,Other language,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 3A, ISCED 4","ISCED 3B, C","ISCED 3A, ISCED 4",12,-1.2278,1.1563,0.8848,1.9538,United Kingdom: England,A town (15 000 to about 100 000 people),Public,14.1667,680,23,82600197,82612188,475.41393,6,1,3,0,0,1,0,2
467.75021,496.11349,493.7728,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,ISCED 5B,ISCED 5B,ISCED 5B,14,0.0058,1.1563,0.4335,0.2793,United Kingdom: Wales,A town (15 000 to about 100 000 people),Public,20.7921,1050,23,82600201,82604155,485.8788333333334,6,1,3,0,1,0,3,2
458.46341,443.8096,485.81049,Female,Native,Language of test,No,Yes,No,Yes,Yes,Yes,More than 500 books,"ISCED 3B, C","ISCED 3B, C","ISCED 3B, C",11,-0.5975,-1.5169,0.6821,0.351,United Kingdom: England,A town (15 000 to about 100 000 people),Public,17.8992,1065,28,82600202,82602047,462.6945,4,1,3,0,1,0,0,1
607.49908,549.85968,628.63593,Male,Second-Generation,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6",16,-0.7039,1.1563,0.935,0.7936,United Kingdom: England,A town (15 000 to about 100 000 people),Private,9.4593,1452,18,82600203,82610482,595.3315633333333,6,0,3,1,2,0,0,0
402.4996,412.24481,407.07681,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,11-25 books,ISCED 5B,ISCED 5B,ISCED 5B,14,-0.831,0.2156,0.393,1.4083,United Kingdom: England,A town (15 000 to about 100 000 people),Public,10.0777,519,23,82600207,82603407,407.27374000000003,6,1,3,0,1,0,0,2
523.07922,579.09442,562.95972,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,11-25 books,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",16,0.7777,0.0321,0.2165,-0.3062,United Kingdom: England,A town (15 000 to about 100 000 people),Public,18.0233,1550,28,82600209,82609585,555.0444533333333,6,1,3,0,1,0,0,2
491.02371,516.61768,552.25861,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",16,0.0433,1.1563,-0.045,-0.1135,United Kingdom: England,A town (15 000 to about 100 000 people),Public,16.4569,1621,28,82600211,82602242,519.9666666666667,6,1,3,0,1,0,0,2
