math_score,read_score,scie_score,gender,immig,homelang,desk,room,quietplace,homecomputer,homeinternet,books,booksqty,misced,fisced,hisced,pared,cultposs,hedres,wealth,ictres,schlregion,schllocation,schltype,stratio,schsize,clsize,schid,stuid
503.9736,503.32111,574.32831,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 3B, C","ISCED 5A, 6","ISCED 5A, 6",16,-.6173999999999999,-.7218,-.7444,-.2729,United Kingdom: Wales,A town (15 000 to about 100 000 people),Public,15.3226,950,23,82600033,82612211
512.40417,629.37231,582.04547,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,More than 500 books,"ISCED 3A, ISCED 4","ISCED 3B, C","ISCED 3A, ISCED 4",12,2.1655,1.1563,3.0097,3.4968,United Kingdom: Wales,A small town (3 000 to about 15 000 people),Public,17.0196,868,28,82600036,82611940
543.8111,566.0885,589.93579,Female,Native,Language of test,Yes,Yes,Yes,No,Yes,Yes,0-10 books,ISCED 5B,"ISCED 3B, C",ISCED 5B,14,-1.2278,-1.4432,-.9069,-1.0838,United Kingdom: England,A town (15 000 to about 100 000 people),Public,16.92,1692,28,82600039,82612663
548.70697,582.98077,594.2757,Female,Native,Language of test,Yes,Yes,Yes,No,Yes,Yes,26-100 books,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",16,-.2818,-1.4432,-.8349,-1.048,United Kingdom: England,A town (15 000 to about 100 000 people),Public,14.3778,647,23,82600043,82602532
549.28278,537.41022,557.92108,Male,Native,Language of test,Yes,Yes,Yes,No,Yes,No,0-10 books,"ISCED 3B, C",ISCED 5B,ISCED 5B,14,-1.2278,-1.7275,-1.0762,-1.0701,United Kingdom: Wales,A small town (3 000 to about 15 000 people),Public,25.1471,855,28,82600046,82600678
525.68359,596.92767,559.84192,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,ISCED 5B,ISCED 5B,ISCED 5B,14,.0045,1.1563,.4772,.4091,United Kingdom: England,A town (15 000 to about 100 000 people),Public,15.9595,1181,28,82600048,82610672
419.58691,481.97739,421.0387,Female,Native,Language of test,No,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 5A, 6","ISCED 3B, C","ISCED 5A, 6",16,.0433,-.8323,.1526,.4892,United Kingdom: Wales,A town (15 000 to about 100 000 people),Public,17.8571,750,28,82600049,82602732
451.4339,518.25177,514.03699,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,More than 500 books,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,14,2.1655,1.1563,1.8258,2.618,United Kingdom: Wales,A town (15 000 to about 100 000 people),Public,18.0882,1230,28,82600056,82605372
560.7597,542.46729,588.44489,Female,Native,Language of test,Yes,Yes,No,Yes,Yes,Yes,More than 500 books,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,2.1655,-1.1023,.3309,.9455,United Kingdom: England,A town (15 000 to about 100 000 people),Public,18.7037,1010,28,82600057,82606354
525.18048,467.5556,475.41919,Female,Second-Generation,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",12,.7776999999999999,1.1563,.7725,1.0751,United Kingdom: England,A city (100 000 to about 1 000 000 people),Public,14.2174,981,28,82600061,82604946
417.0264,456.18851,435.85141,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,0-10 books,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",16,-.831,.0321,.1079,-.2111,United Kingdom: Wales,A small town (3 000 to about 15 000 people),Public,14.9412,1270,23,82600062,82603364
589.38397,571.4353,590.86023,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,"ISCED 3B, C","ISCED 3B, C","ISCED 3B, C",11,-.222,1.1563,.9628,.7936,United Kingdom: England,A small town (3 000 to about 15 000 people),Public,15.3871,954,28,82600064,82607008
485.34161,534.57379,481.33841,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 3B, C","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,-1.1752,1.1563,-.2729,-.5600000000000001,United Kingdom: England,A town (15 000 to about 100 000 people),Public,14.1852,766,23,82600066,82602574
616.76331,663.64697,673.53851,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,201-500 books,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",16,2.1655,.0321,-.068,-.1135,United Kingdom: England,A small town (3 000 to about 15 000 people),Public,16.3776,1171,23,82600070,82601885
459.9361,358.43121,444.95621,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,0-10 books,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,-.356,1.1563,.9497,.6155,United Kingdom: Wales,A town (15 000 to about 100 000 people),Public,15.5,837,18,82600078,82609315
562.2796,540.64783,589.5188,Male,Native,Language of test,Yes,Yes,Yes,No,Yes,Yes,26-100 books,"ISCED 3B, C","ISCED 3B, C","ISCED 3B, C",11,-.0071,-.6281,.2276,.4091,United Kingdom: England,A town (15 000 to about 100 000 people),Public,16.866,818,23,82600079,82604053
541.45892,563.133,566.25598,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,More than 500 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,2.1655,1.1563,.9298999999999999,2.618,United Kingdom: Wales,A city (100 000 to about 1 000 000 people),Public,18.2439,1496,23,82600080,82604366
584.9986,584.38782,626.48853,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,-.8341,.0321,.2775,.4091,United Kingdom: England,"A village, hamlet or rural area (fewer than 3 000 people)",Public,17.7764,1431,28,82600083,82602393
605.461,641.11432,649.65619,Female,First-Generation,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6",16,-.2107,1.1563,.6075,.597,United Kingdom: Wales,A town (15 000 to about 100 000 people),Public,18.0714,506,23,82600089,82604558
461.16739,479.24091,432.97919,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,201-500 books,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",16,.6093,1.1563,.8768,.4241,United Kingdom: Northern Ireland,A small town (3 000 to about 15 000 people),Private,6.5,182,18,82600091,82608564
594.23657,578.44568,587.08972,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,201-500 books,ISCED 5B,ISCED 5B,ISCED 5B,14,2.1655,1.1563,.895,1.1167,United Kingdom: England,A city (100 000 to about 1 000 000 people),Public,11.7236,1612,28,82600092,82601718
487.16611,457.21109,438.28781,Female,Second-Generation,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,2.1655,1.1563,1.7022,1.4835,United Kingdom: Wales,A city (100 000 to about 1 000 000 people),Public,19.0169,1683,28,82600093,82613029
492.15631,506.1474,469.20059,Female,Native,Language of test,Yes,No,Yes,Yes,Yes,No,11-25 books,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,-1.6287,.1927,.9063,1.9538,United Kingdom: England,A town (15 000 to about 100 000 people),Public,12,630,23,82600095,82604941
532.40833,610.06281,591.36621,Female,Native,Language of test,No,Yes,Yes,Yes,Yes,Yes,101-200 books,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,-.7039,-.7541,-.4038,.1195,United Kingdom: England,A town (15 000 to about 100 000 people),Public,13.7207,1228,23,82600099,82603753
320.1904,409.76831,372.32019,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,More than 500 books,ISCED 5B,None,ISCED 5B,14,-.2472,-.6294999999999999,.1036,1.1606,United Kingdom: Wales,A town (15 000 to about 100 000 people),Public,17.5938,1126,28,82600104,82606911
487.62811,486.61319,489.96851,Male,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 3A, ISCED 4",ISCED 5B,ISCED 5B,14,.2737,.0321,1.4643,1.9538,United Kingdom: England,A town (15 000 to about 100 000 people),Public,14.0184,1521,23,82600107,82613306
621.7168,531.91162,594.1416,Female,Native,Language of test,No,Yes,No,Yes,Yes,Yes,26-100 books,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",16,-.8341,-1.8029,.4111,.351,United Kingdom: England,A small town (3 000 to about 15 000 people),Public,13.5135,1000,28,82600109,82606825
482.5556,487.63141,507.00851,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 5A, 6","ISCED 3B, C","ISCED 5A, 6",16,-.7039,1.1563,1.1073,1.9538,United Kingdom: England,A city (100 000 to about 1 000 000 people),Public,15.6181,1554,28,82600110,82605670
574.33551,606.96869,569.30029,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,201-500 books,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",16,-.3696,.0321,1.3902,3.5053,United Kingdom: England,A town (15 000 to about 100 000 people),Public,15.7572,1363,28,82600114,82608271
523.17181,548.78479,542.64349,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,11-25 books,ISCED 5B,ISCED 5B,ISCED 5B,14,-.5975,1.1563,1.9839,1.0751,United Kingdom: Wales,A town (15 000 to about 100 000 people),Public,17.3448,1006,23,82600117,82612625
562.04602,578.5979,581.96381,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,.7776999999999999,1.1563,2.7596,3.4968,United Kingdom: Wales,A small town (3 000 to about 15 000 people),Public,16.8092,1101,23,82600119,82608993
490.935,504.25891,511.1319,Female,Native,Language of test,Yes,Yes,No,Yes,Yes,Yes,101-200 books,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,14,-.9969,.0659,1.2616,1.4083,United Kingdom: Wales,"A village, hamlet or rural area (fewer than 3 000 people)",Public,16.3133,677,28,82600122,82603906
582.0697,650.34418,676.19427,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,"ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6",16,.2834,.2156,2.6554,3.4968,United Kingdom: England,A town (15 000 to about 100 000 people),Public,14.0678,830,23,82600124,82611816
543.43341,582.86908,588.88562,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 3B, C",ISCED 5B,ISCED 5B,14,-.2107,1.1563,.3021,-.3461,United Kingdom: England,A city (100 000 to about 1 000 000 people),Public,12,900,23,82600135,82610128
427.67511,374.84509,405.1633,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,11-25 books,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,-1.6287,.0321,.8053,1.0751,United Kingdom: Wales,A town (15 000 to about 100 000 people),Public,17.0952,1436,23,82600138,82612790
448.36319,639.90833,562.58441,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,ISCED 5B,"ISCED 3B, C",ISCED 5B,14,.0058,.8021,.9568,.6155,United Kingdom: England,A large city (with over 1 000 000 people),Private,8.75,490,28,82600140,82612370
485.49799,461.578,472.48361,Female,Native,Language of test,Yes,Yes,No,Yes,Yes,Yes,0-10 books,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",16,-1.6287,-.9611,-.1343,.1321,United Kingdom: England,A city (100 000 to about 1 000 000 people),Public,14.3051,844,23,82600142,82609935
448.18381,537.2774,494.33841,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,11-25 books,"ISCED 3B, C",ISCED 5B,ISCED 5B,14,-.4113,.0321,.1125,.0257,United Kingdom: England,A town (15 000 to about 100 000 people),Public,15.6667,940,23,82600152,82609576
543.78229,609.34839,588.83331,Female,Second-Generation,Language of test,Yes,Yes,Yes,No,Yes,Yes,More than 500 books,ISCED 5B,ISCED 5B,ISCED 5B,14,2.1655,-1.4432,-2.2125,-1.6394,United Kingdom: England,A town (15 000 to about 100 000 people),Public,16.7391,770,28,82600155,82609756
482.86621,557.76349,430.7995,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,0-10 books,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,-1.6287,.0321,.4111,.6155,United Kingdom: England,A town (15 000 to about 100 000 people),Public,15.6627,1300,28,82600156,82612814
426.9068,503.88571,477.53571,Female,Native,Language of test,Yes,No,Yes,Yes,Yes,Yes,11-25 books,"ISCED 3A, ISCED 4",ISCED 5B,ISCED 5B,14,-.4504,.0321,.3317,.7936,United Kingdom: England,A large city (with over 1 000 000 people),Public,13.8542,1330,28,82600157,82612574
546.01031,574.43073,592.51831,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,201-500 books,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",16,2.1655,.0321,.1003,.7936,United Kingdom: England,A town (15 000 to about 100 000 people),Public,14.8596,1746,28,82600161,82600939
654.78351,653.8172,614.54492,Female,First-Generation,Language of test,No,Yes,Yes,Yes,Yes,Yes,11-25 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,-1.2278,-.1639,.2325,.7936,United Kingdom: England,A town (15 000 to about 100 000 people),Public,15.2324,1409,28,82600162,82608948
368.957,279.59579,355.82159,Female,Native,Language of test,Yes,No,Yes,Yes,Yes,Yes,11-25 books,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,-.831,.2156,.3871,.1321,United Kingdom: England,A city (100 000 to about 1 000 000 people),Public,12.3936,1543,23,82600163,82603425
533.0567,539.38861,598.45789,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,201-500 books,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,.6093,.0321,.6114000000000001,.1646,United Kingdom: England,A town (15 000 to about 100 000 people),Public,18.2022,810,28,82600164,82605355
550.45581,566.37488,563.88629,Male,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,2.1655,1.1563,.647,.2793,United Kingdom: England,A large city (with over 1 000 000 people),Public,17.1171,950,28,82600165,82605865
483.40161,476.6777,552.0025,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",16,-1.6287,.0321,.7569,.4091,United Kingdom: England,A town (15 000 to about 100 000 people),Public,14.5361,705,18,82600167,82601038
562.99231,583.58801,570.83362,Female,Second-Generation,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,-.4113,.0321,.9885,.4241,United Kingdom: England,A large city (with over 1 000 000 people),Public,18.7216,908,23,82600169,82611837
429.4278,401.38501,411.60559,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 3B, C","ISCED 3B, C","ISCED 3B, C",11,-.7039,-.5199,-.1343,.1321,United Kingdom: England,A large city (with over 1 000 000 people),Public,11.7077,761,23,82600170,82611064
501.8447,627.12952,609.58948,Female,Native,Language of test,No,Yes,Yes,Yes,Yes,Yes,101-200 books,"ISCED 3B, C","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,2.1655,-.1639,.5604,.8479,United Kingdom: England,A town (15 000 to about 100 000 people),Public,19.3739,1114,28,82600173,82610104
297.71109,309.27911,300.04199,Female,Native,Language of test,Yes,Yes,Yes,No,Yes,Yes,0-10 books,ISCED 5B,ISCED 5B,ISCED 5B,14,-.356,-1.0496,1.1997,1.9538,United Kingdom: England,A town (15 000 to about 100 000 people),Public,19.5323,1211,23,82600179,82605341
634.46472,707.13092,661.89392,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,More than 500 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,.6062,1.1563,.2798,.1624,United Kingdom: England,A town (15 000 to about 100 000 people),Public,15.0688,1424,23,82600181,82607657
580.2099,621.45111,608.58728,Female,First-Generation,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,.2834,1.1563,.0253,.4091,United Kingdom: England,A city (100 000 to about 1 000 000 people),Public,16.5156,1057,28,82600185,82611355
605.08618,664.68829,682.53009,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 3A, ISCED 4","ISCED 3B, C","ISCED 3A, ISCED 4",12,-.4365,1.1563,.6066,1.0751,United Kingdom: England,A small town (3 000 to about 15 000 people),Public,15.1963,813,23,82600189,82601400
377.11539,404.20331,328.4277,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,11-25 books,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,-1.6287,.0321,-.097,-.9791,United Kingdom: Wales,A city (100 000 to about 1 000 000 people),Public,14.5299,1700,23,82600191,82608511
503.1756,481.2753,517.17188,Female,Native,Language of test,Yes,No,Yes,Yes,Yes,Yes,101-200 books,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,-.2107,.0321,.4905,1.4662,United Kingdom: England,A city (100 000 to about 1 000 000 people),Public,10.8344,818,23,82600194,82608455
466.93179,494.35519,485.1926,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,More than 500 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,-.5041,1.1563,.4938,.6155,United Kingdom: Wales,"A village, hamlet or rural area (fewer than 3 000 people)",Public,16.898,828,23,82600195,82610487
479.33859,472.3779,474.5253,Female,First-Generation,Other language,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 3A, ISCED 4","ISCED 3B, C","ISCED 3A, ISCED 4",12,-1.2278,1.1563,.8848,1.9538,United Kingdom: England,A town (15 000 to about 100 000 people),Public,14.1667,680,23,82600197,82612188
467.75021,496.11349,493.7728,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,ISCED 5B,ISCED 5B,ISCED 5B,14,.0058,1.1563,.4335,.2793,United Kingdom: Wales,A town (15 000 to about 100 000 people),Public,20.7921,1050,23,82600201,82604155
458.46341,443.8096,485.81049,Female,Native,Language of test,No,Yes,No,Yes,Yes,Yes,More than 500 books,"ISCED 3B, C","ISCED 3B, C","ISCED 3B, C",11,-.5975,-1.5169,.6821,.351,United Kingdom: England,A town (15 000 to about 100 000 people),Public,17.8992,1065,28,82600202,82602047
607.49908,549.85968,628.63593,Male,Second-Generation,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6",16,-.7039,1.1563,.9350000000000001,.7936,United Kingdom: England,A town (15 000 to about 100 000 people),Private,9.459300000000001,1452,18,82600203,82610482
402.4996,412.24481,407.07681,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,11-25 books,ISCED 5B,ISCED 5B,ISCED 5B,14,-.831,.2156,.393,1.4083,United Kingdom: England,A town (15 000 to about 100 000 people),Public,10.0777,519,23,82600207,82603407
523.07922,579.09442,562.95972,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,11-25 books,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",16,.7776999999999999,.0321,.2165,-.3062,United Kingdom: England,A town (15 000 to about 100 000 people),Public,18.0233,1550,28,82600209,82609585
491.02371,516.61768,552.25861,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",16,.0433,1.1563,-.045,-.1135,United Kingdom: England,A town (15 000 to about 100 000 people),Public,16.4569,1621,28,82600211,82602242
434.09219,456.52341,398.62509,Female,Native,Language of test,Yes,Yes,Yes,No,Yes,Yes,101-200 books,"ISCED 3B, C","ISCED 3B, C","ISCED 3B, C",11,-.2107,-1.4432,-.487,-.5184,United Kingdom: Wales,"A village, hamlet or rural area (fewer than 3 000 people)",Public,13.1389,473,28,82600212,82613210
553.29529,569.39362,532.6145,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,More than 500 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,2.1655,1.1563,.5763,1.1472,United Kingdom: England,A town (15 000 to about 100 000 people),Public,20.2299,880,23,82600214,82610722
598.82922,611.74048,621.38519,Male,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 3A, ISCED 4","ISCED 3B, C","ISCED 3A, ISCED 4",12,-.831,.0321,.2858,.1321,United Kingdom: England,A town (15 000 to about 100 000 people),Public,13.8462,900,28,82600216,82608229
405.5209,404.34769,355.33139,Female,Native,Language of test,No,No,No,Yes,Yes,Yes,0-10 books,"ISCED 3B, C","ISCED 3B, C","ISCED 3B, C",11,-.831,-1.3874,.0164,-.153,United Kingdom: Wales,"A village, hamlet or rural area (fewer than 3 000 people)",Public,17.1111,462,23,82600218,82604776
488.57059,530.23181,521.65338,Female,Native,Language of test,Yes,Yes,No,Yes,Yes,Yes,26-100 books,"ISCED 3B, C","ISCED 3B, C","ISCED 3B, C",11,-.2031,-.6133999999999999,.4767,.1519,United Kingdom: England,A large city (with over 1 000 000 people),Public,12.9161,1001,28,82600221,82610335
415.181,475.59171,479.74191,Female,Native,Language of test,No,No,No,Yes,Yes,Yes,0-10 books,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,14,-.7039,-1.5169,-.9252,-.6393,United Kingdom: Wales,A small town (3 000 to about 15 000 people),Public,14.3759,956,23,82600226,82604281
440.84329,422.45319,403.9519,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 3B, C","ISCED 3B, C","ISCED 3B, C",11,.7776999999999999,1.1563,1.2473,2.618,United Kingdom: Northern Ireland,A city (100 000 to about 1 000 000 people),Public,13.3953,576,18,82600229,82612733
516.91248,511.76031,550.23688,Female,Second-Generation,Other language,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 3B, C","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,-.7272999999999999,1.1563,.2104,.1321,United Kingdom: Wales,A city (100 000 to about 1 000 000 people),Public,19.4372,2245,28,82600230,82607164
597.43701,713.42047,632.81512,Female,Second-Generation,Other language,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,.1376,.0321,.4532,.597,United Kingdom: England,A large city (with over 1 000 000 people),Private,10.0765,922,18,82600233,82608305
613.83588,586.90399,622.3222,Male,Second-Generation,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,"ISCED 3B, C","ISCED 5A, 6","ISCED 5A, 6",16,-1.6287,.0321,.4038,1.4083,United Kingdom: England,A large city (with over 1 000 000 people),Public,17.7117,983,28,82600237,82603018
439.24469,515.45129,501.33569,Female,Native,Other language,Yes,Yes,Yes,No,Yes,Yes,0-10 books,"ISCED 3B, C","ISCED 5A, 6","ISCED 5A, 6",16,-1.6287,-1.0496,-.2228,-1.1386,United Kingdom: Wales,A small town (3 000 to about 15 000 people),Public,16.7273,368,23,82600242,82600729
509.27499,552.61627,516.47357,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,201-500 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,.0433,1.1563,-.7981,-.1135,United Kingdom: England,A city (100 000 to about 1 000 000 people),Public,16.2376,820,23,82600244,82604839
583.35248,552.1333,585.5083,Female,Native,Language of test,Yes,Yes,Yes,Yes,Yes,Yes,201-500 books,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,.2145,-.7218,.5003,-.0687,United Kingdom: Wales,A small town (3 000 to about 15 000 people),Private,7.8701,606,18,82600245,82605948
